mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__embedding_dim,param_module__hidden_dim,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
137.68601739406586,4.170404764815232,0.09175493717193603,0.012819093152765838,16,0.01,50,50,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 50, 'module__hidden_dim': 50}",0.5922865013774105,0.5702479338842975,0.6060606060606061,0.5482093663911846,0.581267217630854,0.5552486187845304,0.5773480662983426,0.6270718232044199,0.5883977900552486,0.48066298342541436,0.5726800907112308,0.03765028752566869,13
156.07903835773467,0.5376833941254162,0.12066402435302734,0.02477547867324528,16,0.01,50,50,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 50, 'module__hidden_dim': 100}",0.5647382920110193,0.5702479338842975,0.559228650137741,0.559228650137741,0.5179063360881543,0.5662983425414365,0.5662983425414365,0.5828729281767956,0.5580110497237569,0.5580110497237569,0.5602841574966136,0.015843457751751555,29
169.72373914718628,0.9034315371539233,0.10910241603851319,0.008524342585065669,16,0.01,50,100,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 100, 'module__hidden_dim': 50}",0.5895316804407713,0.559228650137741,0.5950413223140496,0.5950413223140496,0.5730027548209367,0.6077348066298343,0.5441988950276243,0.6187845303867403,0.5607734806629834,0.511049723756906,0.5754387166491636,0.030813424178819108,11
192.93711524009706,1.5564383088696594,0.1232421875,0.01314185365644416,16,0.01,50,100,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 100, 'module__hidden_dim': 100}",0.6143250688705234,0.5950413223140496,0.5757575757575758,0.5950413223140496,0.5013774104683195,0.56353591160221,0.5414364640883977,0.5552486187845304,0.5718232044198895,0.6049723756906077,0.5718559274310152,0.031981661291040395,14
208.0813506126404,2.2178289614224944,0.11412012577056885,0.011950388496434454,16,0.01,50,150,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 150, 'module__hidden_dim': 50}",0.5730027548209367,0.5867768595041323,0.5564738292011019,0.5426997245179064,0.5702479338842975,0.5883977900552486,0.6104972375690608,0.6077348066298343,0.5662983425414365,0.5911602209944752,0.579328949971843,0.020524103064843566,10
231.9098255634308,2.8418064551155724,0.1323141098022461,0.016173339154077655,16,0.01,50,150,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 50, 'module__embedding_dim': 150, 'module__hidden_dim': 100}",0.628099173553719,0.6391184573002755,0.5950413223140496,0.581267217630854,0.6418732782369146,0.5828729281767956,0.6298342541436464,0.6022099447513812,0.5966850828729282,0.5552486187845304,0.6052250277765094,0.027161853977393055,4
271.9402059316635,1.9308777494859148,0.09413878917694092,0.015901450038312386,16,0.01,100,50,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 50, 'module__hidden_dim': 50}",0.5895316804407713,0.5619834710743802,0.581267217630854,0.5867768595041323,0.49586776859504134,0.5386740331491713,0.5497237569060773,0.569060773480663,0.5911602209944752,0.5138121546961326,0.55778579364717,0.03139432614601778,32
314.72803473472595,1.6440073256286036,0.12224607467651367,0.01588335823280052,16,0.01,100,50,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 50, 'module__hidden_dim': 100}",0.6033057851239669,0.5977961432506887,0.5840220385674931,0.6088154269972452,0.6115702479338843,0.585635359116022,0.569060773480663,0.6132596685082873,0.5248618784530387,0.580110497237569,0.5878437818668858,0.025269850677884162,7
343.1031892061234,2.1513551159239785,0.10571362972259521,0.020346038814921866,16,0.01,100,100,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 100, 'module__hidden_dim': 50}",0.5730027548209367,0.6088154269972452,0.559228650137741,0.5730027548209367,0.6005509641873278,0.580110497237569,0.580110497237569,0.5994475138121547,0.5469613259668509,0.5276243093922652,0.5748854694610596,0.023944635625283338,12
389.3202608585358,2.6687569186509323,0.13005425930023193,0.02124836257120572,16,0.01,100,100,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 100, 'module__hidden_dim': 100}",0.5454545454545454,0.6556473829201102,0.6391184573002755,0.6198347107438017,0.6556473829201102,0.569060773480663,0.585635359116022,0.6104972375690608,0.6022099447513812,0.574585635359116,0.6057691429615086,0.035614397141958305,3
415.18172426223754,2.2531836763726574,0.12686071395874024,0.01285818299748242,16,0.01,100,150,50,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 150, 'module__hidden_dim': 50}",0.5922865013774105,0.6060606060606061,0.5977961432506887,0.5895316804407713,0.6308539944903582,0.5580110497237569,0.6049723756906077,0.6215469613259669,0.6049723756906077,0.5883977900552486,0.5994429478106023,0.018896934708266287,5
464.0692676305771,5.243846610113769,0.13775203227996827,0.016948585843863072,16,0.01,100,150,100,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 100, 'module__embedding_dim': 150, 'module__hidden_dim': 100}",0.6363636363636364,0.6391184573002755,0.6225895316804407,0.5785123966942148,0.6308539944903582,0.6022099447513812,0.6215469613259669,0.6353591160220995,0.6132596685082873,0.5359116022099447,0.6115725309346606,0.03072437154195375,1
